iteration,n_candidates,reward_time_ms,total_time_ms
23,290,62.43419647216797,69.91124153137207
24,286,60.10794639587402,68.32361221313477
25,282,61.30385398864746,68.83478164672852
26,278,58.69913101196289,66.6966438293457
27,274,59.05485153198242,66.50185585021973
28,270,58.31170082092285,66.22052192687988
29,267,57.37495422363281,64.4841194152832
30,264,56.04910850524902,63.782691955566406
31,260,56.28013610839844,63.452959060668945
32,256,54.52084541320801,62.12186813354492
33,252,54.137229919433594,61.141014099121094
34,248,52.898406982421875,60.38641929626465
35,244,52.504539489746094,59.08679962158203
36,241,51.58591270446777,58.7313175201416
37,238,51.78332328796387,58.15410614013672
38,234,52.291154861450195,59.30638313293457
39,230,49.602508544921875,55.79185485839844
40,226,48.041343688964844,55.483102798461914
41,222,47.742366790771484,53.8172721862793
42,219,47.141075134277344,54.1081428527832
43,216,46.56028747558594,52.407264709472656
44,213,46.344757080078125,53.40099334716797
45,209,46.06056213378906,51.76854133605957
46,206,44.32392120361328,50.521135330200195
47,203,44.80242729187012,50.64845085144043
48,199,43.3497428894043,49.48830604553223
49,195,42.35672950744629,47.705888748168945
50,191,41.402578353881836,47.252655029296875
51,187,40.67802429199219,45.84813117980957
52,185,40.210723876953125,45.93324661254883
53,183,39.60061073303223,44.55733299255371
54,180,39.14904594421387,44.718265533447266
55,177,38.61522674560547,43.9305305480957
56,174,37.470102310180664,43.03574562072754
57,170,37.31226921081543,42.57082939147949
58,166,36.390066146850586,41.99337959289551
59,162,35.63380241394043,40.25983810424805
60,160,34.25955772399902,39.35408592224121
61,158,35.093069076538086,39.693593978881836
62,154,33.40721130371094,38.35582733154297
63,150,32.685041427612305,36.99755668640137
64,148,32.410621643066406,37.13703155517578
65,146,31.925201416015625,36.13591194152832
66,145,31.247615814208984,35.83574295043945
67,144,31.564712524414062,35.84408760070801
68,141,30.834197998046875,35.680294036865234
69,137,29.844045639038086,33.90645980834961
70,136,29.326200485229492,33.725738525390625
71,134,29.689788818359375,33.74528884887695
72,130,28.100013732910156,32.43136405944824
73,129,29.736042022705078,33.74147415161133
74,128,27.948379516601562,32.43398666381836
75,126,28.047561645507812,32.22918510437012
76,124,31.03923797607422,35.14552116394043
77,121,26.92413330078125,30.766725540161133
78,118,26.14879608154297,30.409812927246094
79,115,26.95178985595703,30.675172805786133
80,113,25.687456130981445,29.5712947845459
81,111,24.712562561035156,28.34153175354004
82,108,23.104429244995117,27.099132537841797
83,106,24.158954620361328,28.013229370117188
84,103,22.774219512939453,26.607036590576172
85,100,25.332212448120117,28.99479866027832
86,97,21.851301193237305,25.183677673339844
87,94,20.903587341308594,24.031639099121094
88,92,20.708560943603516,23.90742301940918
89,89,20.172119140625,23.46062660217285
90,87,19.099712371826172,22.179841995239258
91,85,18.85676383972168,21.764039993286133
92,82,18.57137680053711,21.452903747558594
93,81,18.384456634521484,21.301746368408203
94,80,10.523319244384766,13.35287094116211
95,78,18.61882209777832,19.04296875
96,75,4.89497184753418,5.262136459350586
1,263,14833.54377746582,14833.95767211914
2,259,36.16046905517578,41.500091552734375
3,255,36.393165588378906,41.129112243652344
4,251,34.1341495513916,39.519548416137695
5,247,34.49702262878418,39.020538330078125
6,243,32.95588493347168,37.77289390563965
7,239,34.1188907623291,38.41090202331543
8,235,32.25445747375488,37.125349044799805
9,231,32.23609924316406,36.43298149108887
10,227,31.105518341064453,35.643577575683594
11,223,30.941009521484375,35.58921813964844
12,219,31.27741813659668,35.92181205749512
13,215,31.334877014160156,35.776615142822266
14,211,32.801151275634766,37.11724281311035
15,207,28.664350509643555,32.54961967468262
16,203,29.224395751953125,34.75642204284668
